source_invoice_id,document_number,entry_date,supplier,items_mov_count,items_fiscal_count,volume_lt_mov,volume_lt_fiscal,total_mov,total_fiscal,movement_only,fiscal_only,both_sources,neither_source
2035290,176613,2026-06-12,305,0,2,0,0,0,16.6500,False,True,False,False
2036759,176690,2026-06-12,305,0,2,0,0,0,20.8000,False,True,False,False
2036761,176718,2026-06-13,305,0,2,0,0,0,47.7400,False,True,False,False
2036762,318106,2026-06-13,2842,0,3,0,0,0,39.1600,False,True,False,False
2036763,318153,2026-06-14,2842,0,3,0,0,0,39.3300,False,True,False,False
2036764,176796,2026-06-14,305,0,2,0,0,0,18.0600,False,True,False,False
2036768,176921,2026-06-15,305,0,2,0,0,0,21.5600,False,True,False,False
2036769,176837,2026-06-15,305,0,2,0,0,0,21.4500,False,True,False,False
2036770,177078,2026-06-16,305,0,2,0,0,0,20.5400,False,True,False,False
2036772,177003,2026-06-16,305,0,2,0,0,0,21.4100,False,True,False,False
2038297,54955,2026-06-16,25732,1,1,5000.0,5000.0,16164.0000,16164.0000,False,False,True,False
2038298,54954,2026-06-16,25732,1,1,10000.0,10000.0,67606.2891,67606.2900,False,False,True,False
2038299,54953,2026-06-16,25732,1,1,5000.0,5000.0,31145.5391,31145.5400,False,False,True,False
2038325,8983,2026-06-16,376,0,1,0,0,0,30.0000,False,True,False,False
2038549,304188,2026-06-16,338,0,1,0,0,0,49.0000,False,True,False,False
2036773,177199,2026-06-17,305,0,2,0,0,0,16.6700,False,True,False,False
2036774,177112,2026-06-17,305,0,2,0,0,0,17.9300,False,True,False,False
2036775,177224,2026-06-17,305,0,2,0,0,0,18.7900,False,True,False,False
2038301,55126,2026-06-17,25732,1,1,5000.0,5000.0,15963.1895,15963.1900,False,False,True,False
2038302,55125,2026-06-17,25732,1,1,5000.0,5000.0,33803.1523,33803.1500,False,False,True,False
2038304,55124,2026-06-17,25732,1,1,5000.0,5000.0,31145.4883,31145.4900,False,False,True,False
2038326,8995,2026-06-17,376,0,1,0,0,0,60.0000,False,True,False,False
2038327,9009,2026-06-17,376,0,1,0,0,0,30.0000,False,True,False,False
2036776,177224,2026-06-18,305,0,2,0,0,0,18.7900,False,True,False,False
2037902,177340,2026-06-18,305,0,2,0,0,0,17.3800,False,True,False,False
2038329,9009,2026-06-18,376,0,1,0,0,0,30.0000,False,True,False,False
2038464,2347,2026-06-18,2969,0,1,0,0,0,195.0000,False,True,False,False
2037903,177478,2026-06-19,305,0,2,0,0,0,13.4200,False,True,False,False
2037904,177371,2026-06-19,305,0,2,0,0,0,13.7300,False,True,False,False
2038330,9021,2026-06-19,376,0,1,0,0,0,30.0000,False,True,False,False
2037905,177569,2026-06-20,305,0,2,0,0,0,14.4100,False,True,False,False
2037907,177517,2026-06-20,305,0,2,0,0,0,13.7300,False,True,False,False
2038306,55376,2026-06-20,25732,1,1,5000.0,5000.0,16615.9805,16615.9800,False,False,True,False
2038307,55375,2026-06-20,25732,1,1,5000.0,5000.0,15963.1895,15963.1900,False,False,True,False
2038333,9031,2026-06-20,376,0,1,0,0,0,120.0000,False,True,False,False
2037909,177600,2026-06-21,305,0,3,0,0,0,45.5100,False,True,False,False
2037910,177578,2026-06-21,305,0,3,0,0,0,38.6300,False,True,False,False
2038336,9040,2026-06-21,376,0,1,0,0,0,120.0000,False,True,False,False
2037912,177716,2026-06-22,305,0,2,0,0,0,14.6700,False,True,False,False
2037915,177631,2026-06-22,305,0,2,0,0,0,13.6100,False,True,False,False
2038283,304581,2026-06-22,338,0,1,0,0,0,122.8000,False,True,False,False
2038338,9054,2026-06-22,376,0,1,0,0,0,30.0000,False,True,False,False
2038260,177887,2026-06-23,305,2,2,0,0,15.3206,15.3200,False,False,True,False
2038263,177766,2026-06-23,305,0,12,0,0,0,644.9200,False,True,False,False
2038309,55524,2026-06-23,25732,1,1,5000.0,5000.0,31145.5391,31145.5400,False,False,True,False
2038310,55525,2026-06-23,25732,1,1,5000.0,5000.0,31798.3301,31798.3300,False,False,True,False
2038311,55526,2026-06-23,25732,1,1,5000.0,5000.0,33451.6406,33451.6400,False,False,True,False
2038312,55527,2026-06-23,25732,1,1,5000.0,5000.0,15963.1895,15963.1900,False,False,True,False
2038340,9077,2026-06-23,376,0,1,0,0,0,30.0000,False,True,False,False
2038168,107695,2026-06-24,19365,1,1,0,0,2646.2700,2916.0000,False,False,True,False
2038264,177907,2026-06-24,305,0,2,0,0,0,18.3700,False,True,False,False
2038459,177986,2026-06-24,305,0,2,0,0,0,18.1000,False,True,False,False
2038921,55615,2026-06-24,25732,1,1,5000.0,5000.0,33451.6406,33451.6400,False,False,True,False
2038922,55614,2026-06-24,25732,1,1,5000.0,5000.0,31195.7598,31195.7600,False,False,True,False
2038460,178060,2026-06-25,305,0,2,0,0,0,19.4000,False,True,False,False
2038794,178182,2026-06-25,305,0,2,0,0,0,19.5900,False,True,False,False
2038774,304929,2026-06-26,338,0,1,0,0,0,122.8000,False,True,False,False
2038795,178215,2026-06-26,305,0,2,0,0,0,19.2100,False,True,False,False
2038928,55768,2026-06-26,25732,1,1,10000.0,10000.0,66238.0469,66238.0500,False,False,True,False
2038930,55769,2026-06-26,25732,1,1,5000.0,5000.0,15708.7002,15708.7000,False,False,True,False
2040177,178295,2026-06-26,305,0,2,0,0,0,18.8600,False,True,False,False
2038915,83254,2026-06-27,486,1,1,0,0,955.1796,1268.1200,False,False,True,False
2040181,178320,2026-06-27,305,0,2,0,0,0,36.3100,False,True,False,False
2040187,178387,2026-06-28,305,0,3,0,0,0,54.3700,False,True,False,False
2039456,107900,2026-06-29,19365,2,2,0,0,2708.3400,2984.4000,False,False,True,False
2040178,178494,2026-06-29,305,0,2,0,0,0,14.8300,False,True,False,False
2040180,178421,2026-06-29,305,0,2,0,0,0,18.8300,False,True,False,False
2040207,9107,2026-06-29,376,0,1,0,0,0,30.0000,False,True,False,False
2040190,178702,2026-06-30,305,0,2,0,0,0,14.8300,False,True,False,False
2040192,178536,2026-06-30,305,0,2,0,0,0,15.5900,False,True,False,False
2040183,178836,2026-07-01,305,0,2,0,0,0,12.5300,False,True,False,False
2040185,178747,2026-07-01,305,0,2,0,0,0,14.6100,False,True,False,False
2040195,178863,2026-07-02,305,0,2,0,0,0,15.0500,False,True,False,False
2041310,56143,2026-07-02,25732,1,1,5000.0,5000.0,30924.5996,30924.6000,False,False,True,False
2041311,56142,2026-07-02,25732,1,1,10000.0,10000.0,30734.4883,30734.4900,False,False,True,False
2041312,56141,2026-07-02,25732,1,1,5000.0,5000.0,32516.4512,32516.4500,False,False,True,False
2041313,56140,2026-07-02,25732,1,1,5000.0,5000.0,30924.5996,30924.6000,False,False,True,False
2042161,178992,2026-07-02,305,0,2,0,0,0,22.2700,False,True,False,False
2042170,179089,2026-07-03,305,0,2,0,0,0,21.3700,False,True,False,False
2042172,179022,2026-07-03,305,0,2,0,0,0,21.1300,False,True,False,False
2042183,179178,2026-07-04,305,0,2,0,0,0,22.7800,False,True,False,False
2042184,179106,2026-07-04,305,0,2,0,0,0,20.4900,False,True,False,False
2042179,179206,2026-07-05,305,0,4,0,0,0,57.8300,False,True,False,False
2042182,179187,2026-07-05,305,0,3,0,0,0,42.6900,False,True,False,False
2042174,179342,2026-07-06,305,0,2,0,0,0,20.5000,False,True,False,False
2042176,179230,2026-07-06,305,0,2,0,0,0,22.0900,False,True,False,False
2042185,179368,2026-07-07,305,0,2,0,0,0,22.4000,False,True,False,False
2042187,179465,2026-07-07,305,0,2,0,0,0,22.1000,False,True,False,False
2042162,179503,2026-07-08,305,0,2,0,0,0,21.7100,False,True,False,False
2041821,83471,2026-07-09,486,2,2,0,0,765.6284,1016.4800,False,False,True,False
2042163,179630,2026-07-09,305,0,2,0,0,0,16.1300,False,True,False,False
2042165,179721,2026-07-09,305,0,2,0,0,0,21.9800,False,True,False,False
2042189,179786,2026-07-10,305,0,2,0,0,0,27.1100,False,True,False,False
